Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm)
Cubillas de Rueda,León,14.7 (15:30),-3.0 (08:30),5.8,19 (15:50),12 (16:00),0,0,0,0,0
Puerto de San Isidro,León,9.6 (14:10),-1.2 (03:20),4.2,26 (15:30),20 (12:20),0,0,0,0,0
"León, Virgen del Camino",León,15.2 (15:00),1.0 (23:50),8.1,21 (08:20),16 (17:00),0,0,0,0,0
Valencia de Don Juan,León,14.1 (16:10),-1.2 (09:10),6.5,16 (23:50),13 (23:59),0,0,0,0,0
"Barrios de Luna, Miñera",León,17.9 (15:30),-1.8 (05:30),8,22 (16:10),15 (07:10),0,0,0,0,0
"Quintana del Castillo, Villameca",León,,,,,,,0,,0,0
Astorga,León,,,,15 (06:50),12 (21:10),0,0,0,0,0
Lagunas de Somoza,León,15.6 (16:00),0.6 (22:30),8.1,15 (06:10),13 (06:50),0,0,0,0,0
Bustillo del Páramo,León,14.7 (15:40),-1.0 (08:50),6.8,16 (04:20),11 (04:20),0,0,0,0,0
Martinet,Lleida,14.3 (14:40),-4.0 (08:50),5.2,19 (06:10),13 (06:10),0,0,0,0,0
La Seu d'Urgell,Lleida,14.0 (15:20),-4.2 (08:00),4.9,,,0,0,0,0,0
Tuixent,Lleida,13.6 (14:20),0.4 (09:50),7,10 (01:10),6 (13:10),0,0,0,0,0
Coll de Nargó,Lleida,13.0 (13:30),-1.1 (08:20),5.9,36 (17:00),29 (17:00),0,0,0,0,0
Torà,Lleida,8.2 (13:50),-4.2 (08:50),2,,,0,0,0,0,0
Artesa de Segre,Lleida,2.2 (16:10),-2.1 (09:10),0.1,,,0.4,0.2,0,0.2,0
Esterri d'Àneu,Lleida,14.3 (14:50),-2.8 (09:10),5.8,19 (00:10),10 (00:10),0,0,0,0,0
Torre de Cabdella,Lleida,15.1 (13:40),1.9 (07:10),8.5,,,0,0,0,0,0
Talarn,Lleida,12.7 (15:30),2.4 (08:20),7.5,10 (13:20),7 (07:20),0,0,0,0,0
Llimiana,Lleida,,,,,,,,,,
Granyanella,Lleida,2.7 (15:10),-4.1 (08:50),-0.7,,,0,0,0,0,0
Tàrrega,Lleida,1.6 (16:40),-3.2 (07:10),-0.8,10 (13:30),4 (00:20),0,0,0,0,0
Os de Balaguer,Lleida,2.4 (15:20),-4.0 (08:00),-0.8,16 (00:40),10 (00:40),0,0,0,0,0
Mollerussa,Lleida,1.7 (15:10),0.1 (23:50),0.9,9 (12:30),5 (15:40),0,0,0,0,0
Vall de Boí,Lleida,14.9 (14:40),-3.9 (08:30),5.5,13 (00:40),6 (00:40),0,0,0,0,0
Lleida,Lleida,2.8 (15:10),1.5 (09:30),2.1,11 (09:20),7 (09:20),0,0,0,0,0
La Pobla de Cérvoles,Lleida,12.7 (13:10),1.2 (06:30),6.9,,,0,0,0,0,0
El Soleràs,Lleida,2.3 (14:20),-3.4 (08:20),-0.6,,,0.2,0,0.2,0,0
"Naut Aran, Arties",Lleida,8.4 (14:50),-2.2 (23:59),3.1,16 (01:20),8 (01:10),0,0,0,0,0
Bossòst,Lleida,12.4 (14:40),-3.4 (23:50),4.5,22 (06:10),15 (04:10),0,0,0,0,0
Cervantes,Lugo,15.5 (10:40),5.5 (23:00),10.5,26 (04:00),11 (03:50),0,0,0,0,0
Ribadeo,Lugo,11.3 (15:00),3.0 (09:10),7.2,18 (22:40),12 (02:10),0,0,0,0,0
Mondoñedo,Lugo,9.5 (15:00),-1.4 (09:00),4.1,,,0,0,0,0,0
Burela,Lugo,10.8 (20:30),7.2 (05:50),9,,,0,0,0,0,0
Lugo Aeropuerto,Lugo,12.1 (16:40),-3.7 (09:00),4.2,23 (23:20),10 (23:30),0,0,0,0,0
Lugo,Lugo,10.6 (17:00),-2.5 (09:10),4.1,16 (21:40),6 (21:40),0,0,0,0,0
O Páramo,Lugo,12.1 (15:30),-4.1 (08:40),4,,,0,0,0,0,0
Becerreá,Lugo,12.7 (00:20),3.5 (23:59),8.1,21 (01:10),14 (01:30),0,0,0,0,0
O Saviñao,Lugo,17.3 (17:40),2.1 (23:59),9.7,,14 (23:50),0,0,0,0,0
Folgoso do Courel,Lugo,15.3 (15:10),1.5 (23:50),8.4,,,0,0,0,0,0
Monforte de Lemos,Lugo,12.2 (16:50),-2.0 (08:10),5.1,6 (14:30),3 (14:30),,,,,
Puerto de Navacerrada,Madrid,11.3 (13:40),2.1 (23:59),6.7,24 (23:30),20 (23:40),0,0,0,0,0
Aranjuez,Madrid,14.4 (16:50),-4.8 (08:40),4.8,19 (11:00),14 (11:10),0,0,0,0,0
Rascafría,Madrid,17.2 (15:00),-4.1 (08:20),6.6,11 (15:10),5 (15:10),0,0,0,0,0
Buitrago del Lozoya,Madrid,13.7 (15:00),-5.4 (08:10),4.1,16 (22:20),10 (22:20),0,0,0,0,0
Somosierra,Madrid,,,,,,,,,,
"Madrid, El Goloso",Madrid,12.9 (16:20),-3.5 (08:20),4.7,9 (11:40),5 (11:40),0,0,0,0,0
Madrid Aeropuerto,Madrid,,,,13 (13:00),9 (23:30),0,0,0,0,0
Alcala de Henares,Madrid,14.7 (16:40),-4.1 (09:10),5.3,12 (01:10),9 (01:10),0,0,0,0,0
Arganda del Rey,Madrid,13.9 (16:00),-3.5 (08:40),5.2,11 (16:20),8 (16:20),0,0,0,0,0
Colmenar Viejo,Madrid,12.6 (12:20),4.6 (23:50),8.6,14 (15:10),8 (14:00),0,0,0,0,0
"Madrid, Ciudad Universitaria",Madrid,14.8 (15:50),-3.0 (09:10),5.9,13 (14:20),4 (14:00),0,0,0,0,0
Pozuelo de Alarcón,Madrid,15.7 (16:20),-4.4 (07:50),5.6,,,0,0,0,0,0
"Madrid, Retiro",Madrid,11.7 (16:10),1.1 (08:30),6.4,19 (01:00),11 (01:00),0,0,0,0,0
Tielmes,Madrid,13.6 (15:30),-3.7 (09:00),5,,,0,0,0,0,0
Puerto Alto del León,Madrid,9.2 (14:00),-0.3 (23:10),4.4,,,0,0,0,0,0
Alpedrete,Madrid,17.0 (14:40),0.5 (08:20),8.8,21 (20:10),11 (19:10),0,0,0,0,0
Torrelodones,Madrid,14.6 (15:50),0.3 (08:50),7.5,28 (20:50),14 (21:00),0,0,0,0,0
Rozas de Puerto Real,Madrid,,,,,,,,,,
Valdemorillo,Madrid,14.3 (15:40),1.1 (08:50),7.7,13 (08:30),10 (08:30),0,0,0,0,0
Villanueva de la Cañada,Madrid,15.2 (15:30),-0.3 (06:40),7.4,16 (22:40),12 (00:40),0,0,0,0,0
Ronda Instituto,Málaga,18.9 (14:30),8.1 (23:59),13.5,29 (01:30),13 (01:30),0,0,0,0,0
Cortes de la Frontera,Málaga,16.8 (15:20),4.5 (08:30),10.6,13 (13:30),5 (12:50),0,0,0,0,0
Alpandeire,Málaga,19.2 (14:40),7.4 (00:30),13.3,28 (05:10),16 (01:50),0,0,0,0,0
Gaucín,Málaga,16.8 (15:40),8.8 (23:59),12.8,16 (02:40),13 (23:59),0,0,0,0,0
Manilva,Málaga,18.3 (16:20),10.6 (09:00),14.4,22 (23:10),12 (01:00),0,0,0,0,0
Estepona,Málaga,19.2 (14:10),9.7 (23:59),14.5,18 (01:10),11 (11:20),0,0,0,0,0
Benahavís,Málaga,19.4 (15:10),7.3 (00:00),13.3,13 (01:30),8 (15:20),0,0,0,0,0
"Marbella, Puerto",Málaga,,,,18 (00:30),12 (08:20),0,0,0,0,0
Marbella,Málaga,19.5 (12:10),10.5 (08:30),15,19 (02:10),12 (22:10),0,0,0,0,0
Fuengirola,Málaga,16.7 (16:40),9.9 (08:40),13.3,17 (09:00),11 (14:50),0,0,0,0,0
Torremolinos,Málaga,20.0 (14:40),9.2 (07:00),14.6,16 (18:20),10 (18:20),0,0,0,0,0
Antequera,Málaga,18.6 (16:10),1.1 (08:00),9.9,26 (01:20),13 (01:20),0,0,0,0,0
Álora,Málaga,21.8 (16:20),5.2 (08:50),13.5,14 (14:30),10 (14:30),0,0,0,0,0
Coín,Málaga,22.0 (15:40),6.4 (07:30),14.2,,,0,0,0,0,0
Málaga Aeropuerto,Málaga,19.8 (14:20),3.5 (09:00),11.6,30 (03:40),24 (03:40),0,0,0,0,0
"Málaga, Centro Meteorológico",Málaga,21.9 (15:00),6.1 (05:40),14,16 (03:50),11 (03:50),0,0,0,0,0
"Málaga, Puerto",Málaga,21.4 (13:40),9.3 (06:30),15.3,21 (05:40),14 (05:30),0,0,0,0,0
Rincón de la Victoria,Málaga,,,,,,,,,,
Vélez-Málaga,Málaga,24.0 (12:50),5.8 (06:50),14.9,,,0,0,0,0,0
Algarrobo,Málaga,19.6 (12:30),6.0 (07:20),12.8,18 (04:20),9 (04:20),0,0,0,0,0
Nerja,Málaga,18.8 (14:20),9.8 (04:50),14.3,17 (06:00),12 (06:00),0,0,0,0,0
Fuente de Piedra,Málaga,19.7 (16:30),0.6 (08:30),10.2,12 (00:40),8 (17:30),0,0,0,0,0
Melilla,Melilla,16.6 (15:00),8.6 (09:10),12.6,15 (15:40),10 (16:00),0,0,0,0,0
Águilas,Murcia,18.0 (15:20),6.3 (08:40),12.2,15 (14:30),9 (22:40),0,0,0,0,0
Mazarrón,Murcia,18.6 (12:50),7.5 (07:30),13.1,16 (01:30),13 (01:30),0,0,0,0,0
Cartagena,Murcia,17.2 (13:10),3.6 (06:10),10.4,21 (13:40),12 (16:00),0,0,0,0,0
Fuente Álamo de Murcia,Murcia,19.1 (14:10),4.2 (07:10),11.7,,,0,0,0,0,0
Torre-Pacheco,Murcia,19.6 (14:10),3.7 (06:40),11.7,15 (05:10),10 (05:10),0,0,0,0,0
San Javier Aeropuerto,Murcia,18.8 (13:50),2.9 (07:20),10.8,22 (12:00),17 (14:20),0,0,0,0,0
Moratalla,Murcia,15.8 (16:20),5.3 (06:50),10.6,,,0,0,0,0,0
Caravaca de La Cruz,Murcia,17.1 (13:10),1.5 (07:30),9.3,28 (08:20),20 (08:10),0,0,0,0,0
Calasparra,Murcia,18.7 (15:20),-0.3 (08:20),9.2,11 (21:40),9 (03:40),0,0,0,0,0
Bullas,Murcia,,,,,,,0,0,0,
Jumilla,Murcia,19.2 (16:00),-3.8 (07:30),7.7,17 (14:30),10 (14:30),0,0,0,0,0
Cieza,Murcia,18.4 (16:00),-0.6 (06:20),8.9,21 (10:00),17 (10:40),0,0,0,0,0
Archena,Murcia,20.7 (16:50),5.1 (08:00),12.9,,,0,0,0,0,0
Mula,Murcia,19.9 (14:50),3.6 (03:30),11.7,24 (07:10),17 (07:10),0,0,0,0,0
Murcia,Murcia,20.6 (15:40),-0.1 (08:30),10.3,14 (17:40),9 (11:00),0,0,0,0,0
"Caravaca de La Cruz, Los Royos",Murcia,18.4 (15:20),2.7 (00:10),10.5,,,0,0,0,0,0
"Lorca, Zarcilla de Ramos",Murcia,20.0 (15:20),0.1 (06:10),10.1,17 (21:00),12 (21:00),0,0,0,0,0
Lorca,Murcia,19.2 (14:50),-0.6 (08:40),9.3,19 (15:20),9 (14:30),0,0,0,0,0
Puerto Lumbreras,Murcia,19.7 (14:10),7.1 (04:00),13.4,,,0,0,0,0,0
Totana,Murcia,19.3 (15:40),1.8 (08:40),10.5,15 (00:40),9 (00:40),0,0,0,0,0
Alhama de Murcia,Murcia,19.0 (15:20),-0.3 (08:30),9.3,19 (15:20),13 (21:10),0,0,0,0,0
Molina de Segura,Murcia,18.6 (16:00),4.0 (01:40),11.3,31 (11:20),18 (11:30),0,0,0,0,0
Abanilla,Murcia,19.2 (15:40),0.0 (08:10),9.6,,,0,0,0,0,0
Yecla,Murcia,19.3 (15:20),-2.6 (05:50),8.3,35 (19:40),20 (19:40),0,0,0,0,0
"Baztan, Irurita",Navarra,4.5 (17:10),-1.4 (08:40),1.6,9 (22:30),4 (16:20),0,0,0,0,0
Bera,Navarra,6.2 (16:00),1.8 (06:30),4,10 (16:30),4 (16:30),0.2,0,0,0,0.2
Areso,Navarra,5.5 (13:30),-0.5 (09:40),2.5,15 (23:00),5 (13:50),0,0,0,0,0
Los Arcos,Navarra,17.5 (15:00),3.4 (23:00),10.5,27 (21:50),15 (07:00),0,0,0,0,0
Isaba/Izaba,Navarra,14.0 (15:00),-1.4 (09:50),6.3,36 (16:40),21 (16:40),0,0,0,0,0
Oroz-Betelu/Orotz-Betelu,Navarra,13.7 (14:40),5.5 (00:30),9.6,55 (21:20),37 (21:20),0,0,0,0,0
Roncesvalles,Navarra,7.3 (01:50),-1.4 (23:50),3,41 (15:10),25 (12:30),0,0,0,0,0
Navascués/Nabaskoze,Navarra,10.9 (15:40),-6.1 (08:50),2.4,,,0,0,0,0,0
Cáseda,Navarra,11.2 (15:30),-2.3 (09:10),4.4,21 (22:50),12 (22:50),0,0,0,0,0
Olite/Erriberri,Navarra,13.8 (14:50),-1.8 (06:00),6,42 (21:40),27 (21:50),0,0,0,0,0
"Esteribar, Eugui",Navarra,11.9 (12:50),1.4 (23:20),6.6,,,0,0,0,0,0
Monreal/Elo,Navarra,11.6 (15:20),2.3 (22:20),7,48 (23:30),35 (23:30),0,0,0,0,0
Pamplona Aeropuerto,Navarra,12.9 (14:20),2.9 (07:40),7.9,46 (20:50),34 (20:50),0,0,0,0,0
"Aranguren, Ilundain",Navarra,12.9 (14:40),1.5 (09:20),7.2,35 (13:30),12 (14:50),0,0,0,0,0
Irurtzun,Navarra,12.5 (14:20),0.6 (03:00),6.6,41 (23:40),21 (23:59),0,0,0,0,0
Larraga,Navarra,14.4 (14:00),4.0 (05:50),9.2,38 (23:20),26 (23:20),0,0,0,0,0
"Bardenas Reales, Base Aérea",Navarra,15.1 (16:10),-3.3 (08:10),5.9,41 (23:50),26 (22:30),0,0,0,0,0
Monteagudo,Navarra,15.0 (16:10),0.2 (23:59),7.6,,,0,0,0,0,0
Tudela,Navarra,8.1 (16:20),-3.3 (06:10),2.4,20 (23:50),8 (00:10),0,0,0,0,0
Luzaide/Valcarlos,Navarra,3.3 (13:30),-2.1 (09:10),0.6,19 (13:50),14 (13:50),0,0,0,0,0
O Barco de Valdeorras,Ourense,8.1 (17:00),-2.1 (09:40),3,,,0,0,0,0,0
A Pobra de Trives,Ourense,13.9 (15:10),0.4 (07:40),7.1,18 (05:00),13 (05:00),0,0,0,0,0
Chandrexa de Queixa,Ourense,15.9 (15:00),-0.3 (08:40),7.8,15 (16:10),8 (10:10),0,0,0,0,0
Ourense,Ourense,,,,,,,,,,
Beariz,Ourense,18.1 (16:10),-3.4 (09:10),7.4,,,0,0,0,0,0
"Carballiño, O",Ourense,13.7 (15:40),-2.0 (08:40),5.8,4 (23:40),0 (00:10),0,0,0,0,0
Ribadavia,Ourense,8.4 (16:40),-0.3 (07:40),4,,,0,0,0,0,0
Allariz,Ourense,16.4 (16:40),-2.8 (09:50),6.8,,,0,0,0,0,0
Xinzo de Limia,Ourense,17.7 (16:20),-6.1 (07:50),5.8,12 (16:20),7 (16:30),0,0,0,0,0
Muiños,Ourense,17.2 (13:20),2.3 (23:30),9.8,,,0,0,0,0,0
A Gudiña,Ourense,15.6 (15:30),5.0 (07:40),10.3,,,,,,,
Verín,Ourense,13.2 (15:30),-4.6 (09:40),4.3,,,0,0,0,0,0
Cervera de Pisuerga,Palencia,15.9 (14:30),3.0 (23:20),9.4,25 (03:50),16 (00:50),0,0,0,0,0
Aguilar de Campoo,Palencia,14.8 (15:30),-4.2 (07:50),5.3,26 (17:50),14 (17:50),0,0,0,0,0
Villaeles de Valdavia,Palencia,16.0 (16:10),-2.1 (08:20),7,18 (03:50),11 (04:00),0,0,0,0,0
"Velilla del Río Carrión, Camporredondo de Alba",Palencia,14.4 (14:50),4.3 (23:30),9.3,14 (00:10),9 (17:50),0,0,0,0,0
Carrión de los Condes,Palencia,15.8 (16:10),-2.1 (08:30),6.9,30 (01:00),15 (01:10),0,0,0,0,0
Autilla del Pino,Palencia,12.1 (16:10),-0.6 (08:00),5.8,24 (01:40),21 (01:50),0,0,0,0,0
Palencia,Palencia,12.7 (16:00),-4.5 (09:00),4.1,15 (14:30),10 (14:30),0,0,0,0,0
"Santervás de la Vega, Villapún",Palencia,14.5 (15:50),-0.6 (07:20),6.9,23 (01:20),17 (03:40),0,0,0,0,0
Silleda,Pontevedra,15.8 (14:40),4.8 (23:40),10.3,23 (00:20),18 (00:20),0,0,0,0,0
A Estrada,Pontevedra,13.7 (15:30),0.5 (08:30),7.1,,,0,0,0,0,0
VilagarcÍa de Arousa,Pontevedra,15.4 (16:40),2.0 (09:20),8.7,8 (12:20),5 (12:30),0,0,0,0,0
Pontevedra,Pontevedra,14.8 (15:00),4.8 (09:30),9.8,24 (21:40),17 (21:40),0,0,0,0,0
A Lama,Pontevedra,16.7 (14:50),-0.5 (07:20),8.1,15 (13:50),8 (13:50),0,0,0,0,0
Vigo Aeropuerto,Pontevedra,15.3 (15:40),3.9 (08:10),9.6,26 (17:50),14 (07:50),0,0,0,0,0
Vigo,Pontevedra,15.7 (14:00),7.0 (09:10),11.3,13 (16:20),5 (15:00),0,0,0,0,0
A Cañiza,Pontevedra,17.0 (15:50),5.3 (07:50),11.2,,,0,0,0,0,0
"Ponteareas, Canedo",Pontevedra,14.9 (16:10),-1.6 (08:50),6.6,,,0,0,0,0,0
O Rosal,Pontevedra,14.4 (16:20),-0.1 (08:20),7.1,,,0,0,0,0,0
"La Covatilla, estación de esquí",Salamanca,11.2 (15:20),1.9 (08:00),6.5,22 (09:40),19 (09:20),0,0,0,0,0
Pedrosillo de Los Aires,Salamanca,12.3 (15:40),-5.9 (08:20),3.2,18 (17:10),13 (16:30),0,0,0,0,0
Pedraza de Alba,Salamanca,10.8 (15:20),-4.6 (07:50),3.1,9 (15:20),5 (12:10),0,0,0,0,0
Salamanca Aeropuerto,Salamanca,12.3 (14:50),-5.4 (08:00),3.5,,,0,0,0,0,0
Salamanca,Salamanca,13.7 (15:00),-2.1 (08:00),5.8,17 (15:50),8 (15:20),0,0,0,0,0
Barbadillo,Salamanca,12.1 (16:10),-4.3 (08:10),3.9,14 (15:20),11 (15:40),0,0,0,0,0
Ledesma,Salamanca,12.8 (15:50),-4.6 (08:20),4.1,23 (15:00),14 (14:40),0,0,0,0,0
Villarino de los Aires,Salamanca,15.9 (17:10),-0.9 (09:10),7.5,9 (10:20),6 (10:20),0,0,0,0,0
Boadilla Fuente San Esteban,Salamanca,12.2 (15:30),-3.6 (08:50),4.3,13 (16:10),10 (16:10),0,0,0,0,0
Vitigudino,Salamanca,14.8 (16:20),-1.0 (05:00),6.9,19 (14:40),13 (14:40),0,0,0,0,0
El Maíllo,Salamanca,12.2 (11:40),0.8 (23:10),6.5,25 (02:00),22 (02:00),0,0,0,0,0
Bañobárez,Salamanca,12.8 (16:20),-2.3 (06:10),5.3,13 (14:20),8 (17:20),0,0,0,0,0
Navasfrías,Salamanca,14.4 (15:30),-5.3 (07:40),4.5,15 (13:50),7 (13:40),0,0,0,0,0
El Bodón Base Aérea,Salamanca,10.9 (16:50),-3.5 (09:00),3.7,19 (02:40),15 (02:40),0,0,0,0,0
Saelices El Chico,Salamanca,13.7 (16:40),-4.4 (08:50),4.6,16 (18:20),11 (18:20),0,0,0,0,0
Fresno de Cantespino,Segovia,11.8 (15:40),-6.0 (09:00),2.9,26 (13:20),19 (13:00),0,0,0,0,0
Aldeanueva de Serrezuela,Segovia,10.1 (13:10),2.9 (23:59),6.5,19 (13:20),12 (12:40),0,0,0,0,0
"La Pinilla, estación de esquí",Segovia,10.3 (14:10),0.7 (23:30),5.5,19 (20:50),14 (20:40),0,0,0,0,0
Pedraza,Segovia,12.0 (15:10),-0.1 (08:20),5.9,15 (15:20),12 (00:10),0,0,0,0,0
Cuéllar,Segovia,13.8 (16:50),-8.2 (08:10),2.8,13 (13:40),7 (16:30),0,0,0,0,0
Segovia,Segovia,11.5 (15:20),0.8 (23:50),6.2,14 (14:40),11 (14:40),0,0,0,0,0
San Rafael,Segovia,12.1 (13:20),-2.4 (23:59),4.9,,,0,0,0,0,0
Miguelañez,Segovia,10.9 (16:30),-2.1 (08:10),4.4,18 (22:30),16 (22:30),0,0,0,0,0
La Roda de Andalucía,Sevilla,20.7 (15:30),2.4 (09:20),11.6,18 (12:00),12 (12:00),0,0,0,0,0
Lora de Estepa,Sevilla,18.5 (13:40),5.9 (23:00),12.2,,,0,0,0,0,0
Écija,Sevilla,19.5 (16:20),0.4 (08:10),10,15 (12:20),11 (17:50),0,0,0,0,0
La Puebla de los Infantes,Sevilla,18.9 (15:40),-2.5 (08:40),8.2,16 (14:10),11 (13:40),0,0,0,0,0
Fuentes de Andalucía,Sevilla,18.3 (16:00),3.9 (09:10),11.1,18 (11:30),14 (01:30),0,0,0,0,0
Carmona,Sevilla,17.7 (15:40),3.3 (08:30),10.5,29 (12:00),19 (12:00),0,0,0,0,0
Cazalla de la Sierra,Sevilla,19.6 (13:40),0.5 (08:30),10.1,12 (07:10),8 (05:40),0,0,0,0,0
Guadalcanal,Sevilla,,,,,,,,,,
Almadén de la Plata,Sevilla,18.2 (14:40),6.7 (06:50),12.5,13 (13:50),7 (13:30),0,0,0,0,0
Sevilla Aeropuerto,Sevilla,17.8 (17:10),3.1 (08:10),10.4,26 (11:10),18 (11:00),0,0,0,0,0
"Sevilla, Tablada",Sevilla,,,,,,,0,0,,
Morón de la Frontera,Sevilla,17.4 (17:10),2.1 (08:00),9.7,10 (22:10),8 (22:00),0,0,0,0,0
Carrión de los Céspedes,Sevilla,18.3 (16:30),1.0 (08:10),9.6,20 (14:30),13 (15:00),0,0,0,0,0
Las Cabezas de San Juan,Sevilla,18.3 (16:10),4.1 (08:40),11.2,9 (15:50),6 (11:50),0,0,0,0,0
Osuna,Sevilla,18.9 (16:40),9.0 (04:40),13.9,36 (00:50),22 (02:30),0,0,0,0,0
"Vinuesa, Quintanarejo",Soria,14.7 (14:20),0.0 (06:30),7.3,,,0,0,0,0,0
"La Póveda de Soria, Barriomartín",Soria,12.8 (13:30),4.1 (22:50),8.5,32 (02:20),20 (01:10),0,0,0,0,0
Soria,Soria,15.4 (15:00),0.2 (09:00),7.8,19 (14:40),12 (17:00),0,0,0,0,0
Lubia,Soria,13.9 (15:30),-1.6 (06:00),6.1,29 (22:10),18 (23:10),0,0,0,0,0
Morón de Almazán,Soria,12.9 (15:30),-7.5 (08:00),2.7,26 (14:40),19 (14:50),0,0,0,0,0
La Riba de Escalote,Soria,12.7 (14:50),-5.5 (08:40),3.6,19 (15:10),13 (14:50),0,0,0,0,0
Ucero,Soria,10.9 (15:20),-6.4 (09:00),2.2,,,0,0,0,0,0
Burgo de Osma,Soria,11.5 (15:20),-6.2 (08:50),2.7,23 (15:50),16 (15:40),0,0,0,0,0
Liceras,Soria,11.4 (13:50),0.6 (01:10),6,27 (13:10),21 (23:20),0,0,0,0,0
Ólvega,Soria,15.5 (11:30),-1.4 (23:40),7.1,17 (14:40),9 (15:00),0,0,0,0,0
San Pedro Manrique,Soria,13.6 (14:10),-1.5 (09:10),6.1,26 (03:20),17 (11:40),0,0,0,0,0
Arcos de Jalón,Soria,15.8 (16:10),1.0 (05:40),8.4,23 (02:00),15 (02:10),0,0,0,0,0
Almazul,Soria,13.6 (15:30),-1.2 (08:50),6.2,23 (04:20),20 (04:20),0,0,0,0,0
Puntagorda,Santa Cruz de Tenerife,20.4 (15:20),10.8 (02:00),15.6,42 (09:10),25 (09:40),0,0,0,0,0
Tijarafe,Santa Cruz de Tenerife,20.5 (15:50),12.8 (00:00),16.7,29 (07:30),11 (17:30),0,0,0,0,0
El Paso,Santa Cruz de Tenerife,20.4 (15:10),6.7 (00:20),13.5,30 (17:00),19 (17:00),0,0,0,0,0
Fuencaliente,Santa Cruz de Tenerife,23.9 (11:40),16.0 (05:40),19.9,40 (14:30),31 (14:30),0,0,0,0,0
Tazacorte,Santa Cruz de Tenerife,24.1 (12:10),15.7 (03:00),19.9,33 (15:30),16 (17:30),0,0,0,0,0
La Palma Aeropuerto,Santa Cruz de Tenerife,25.1 (13:50),15.5 (01:50),20.3,42 (13:20),30 (13:20),0,0,0,0,0
San Andrés y Sauces,Santa Cruz de Tenerife,21.9 (11:20),13.0 (06:10),17.4,42 (10:20),20 (23:00),0,0,0,0,0
"Vallehermoso, Alto Igualero",Santa Cruz de Tenerife,12.5 (15:00),7.2 (00:20),9.8,62 (09:00),50 (09:10),0,0,0,0,0
Arure,Santa Cruz de Tenerife,19.2 (14:10),11.8 (23:30),15.5,59 (09:30),39 (09:50),0,0,0,0,0
Agulo,Santa Cruz de Tenerife,20.7 (16:40),11.8 (03:00),16.3,58 (10:20),39 (10:20),0,0,0,0,0
"Vallehermoso, Dama",Santa Cruz de Tenerife,23.5 (12:40),14.5 (07:20),19,53 (13:00),28 (11:00),0,0,0,0,0
Hermigua,Santa Cruz de Tenerife,23.5 (15:20),10.2 (07:40),16.8,46 (11:40),18 (13:00),0,0,0,0,0
San Sebastián de la Gomera,Santa Cruz de Tenerife,21.6 (12:10),15.8 (01:20),18.7,32 (09:10),15 (09:20),0,0,0,0,0
"La Orotava, Cañadas Teide",Santa Cruz de Tenerife,14.5 (15:20),-2.7 (08:10),5.9,26 (14:40),16 (13:50),0,0,0,0,0
Adeje,Santa Cruz de Tenerife,24.0 (15:40),15.6 (23:59),19.8,42 (10:50),15 (02:10),0,0,0,0,0
Arico,Santa Cruz de Tenerife,22.8 (14:40),14.6 (02:00),18.7,31 (06:50),21 (02:40),0,0,0,0,0
Tenerife Sur Aeropuerto,Santa Cruz de Tenerife,23.3 (13:10),15.1 (07:00),19.2,32 (21:00),22 (23:20),0,0,0,0,0
Izaña,Santa Cruz de Tenerife,10.8 (12:40),0.3 (07:00),5.6,50 (06:00),41 (06:50),0,0,0,0,0
Candelaria,Santa Cruz de Tenerife,20.6 (15:30),12.7 (03:40),16.7,23 (01:40),17 (00:10),0,0,0,0,0
Güímar,Santa Cruz de Tenerife,22.6 (17:00),10.5 (05:50),16.6,,,0,0,0,0,0
"San Cristóbal de La Laguna,Llano de los Loros",Santa Cruz de Tenerife,18.6 (12:00),9.5 (02:30),14.1,49 (13:00),33 (23:00),0,0,0,0,0
Tenerife Norte Aeropuerto,Santa Cruz de Tenerife,19.5 (15:40),10.4 (08:00),14.9,41 (10:20),27 (11:00),,,,,
Sta.Cruz de Tenerife,Santa Cruz de Tenerife,24.2 (15:20),15.0 (07:00),19.6,31 (13:00),15 (08:00),0,0,0,0,0
Anaga,Santa Cruz de Tenerife,23.6 (15:20),13.1 (04:00),18.4,28 (11:50),14 (11:10),0,0,0,0,0
La Victoria de Acentejo,Santa Cruz de Tenerife,21.9 (12:50),9.9 (04:50),15.9,31 (23:50),18 (20:40),0,0,0,0,0
Tacoronte,Santa Cruz de Tenerife,23.2 (14:10),12.4 (06:20),17.8,44 (23:50),26 (23:30),0,0,0,0,0
Puerto de la Cruz,Santa Cruz de Tenerife,23.7 (16:20),15.2 (05:10),19.5,23 (06:40),12 (04:40),0,0,0,0,0
Los Silos,Santa Cruz de Tenerife,25.0 (15:20),12.0 (08:00),18.5,18 (03:00),14 (03:40),0,0,0,0,0
"El Pinar, Depósito",Santa Cruz de Tenerife,16.8 (12:20),6.2 (00:00),11.5,30 (11:40),13 (10:10),0,0,0,0,0
Valverde,Santa Cruz de Tenerife,16.0 (16:10),8.7 (00:10),12.3,41 (11:40),27 (23:50),0,0,0,0,0
Hierro Aeropuerto,Santa Cruz de Tenerife,23.6 (13:50),16.5 (06:30),20.1,41 (16:10),32 (12:50),0,0,0,0,0
"Frontera, Sabinosa",Santa Cruz de Tenerife,,,,,,,,,,
